epoch,step,loss,lr,elapsed
1,1125,0.023010,1.999877e-04,181.0
2,2250,0.004641,1.999507e-04,362.8
3,3375,0.003984,1.998890e-04,547.6
4,4500,0.003501,1.998027e-04,732.3
5,5625,0.003316,1.996917e-04,917.0
6,6750,0.002910,1.995562e-04,1101.8
7,7875,0.002932,1.993961e-04,1286.4
8,9000,0.002733,1.992115e-04,1471.2
9,10125,0.003089,1.990024e-04,1656.0
10,11250,0.002550,1.987688e-04,1840.8
11,12375,0.002514,1.985109e-04,2027.2
12,13500,0.002468,1.982287e-04,2212.0
13,14625,0.002394,1.979223e-04,2397.1
14,15750,0.002338,1.975917e-04,2582.3
15,16875,0.002336,1.972370e-04,2767.5
16,18000,0.002312,1.968583e-04,2952.8
17,19125,0.002202,1.964557e-04,3138.0
18,20250,0.002165,1.960294e-04,3323.3
19,21375,0.002239,1.955793e-04,3508.6
20,22500,0.002261,1.951057e-04,3693.8
21,23625,0.002187,1.946085e-04,3880.9
22,24750,0.002038,1.940881e-04,4066.2
23,25875,0.002101,1.935444e-04,4251.5
24,27000,0.002172,1.929776e-04,4436.8
25,28125,0.002042,1.923880e-04,4622.0
26,29250,0.002164,1.917755e-04,4807.3
27,30375,0.001985,1.911403e-04,4992.6
28,31500,0.002007,1.904827e-04,5177.8
29,32625,0.002053,1.898028e-04,5363.1
30,33750,0.001911,1.891007e-04,5548.4
31,34875,0.001948,1.883766e-04,5735.4
32,36000,0.002011,1.876307e-04,5920.5
33,37125,0.001880,1.868632e-04,6105.6
34,38250,0.001937,1.860742e-04,6290.7
35,39375,0.001843,1.852640e-04,6475.8
36,40500,0.001969,1.844328e-04,6660.9
37,41625,0.001851,1.835807e-04,6845.9
38,42750,0.001820,1.827081e-04,7031.1
39,43875,0.001948,1.818150e-04,7216.3
40,45000,0.001791,1.809017e-04,7401.3
41,46125,0.001849,1.799685e-04,7588.4
42,47250,0.001803,1.790155e-04,7773.6
43,48375,0.001821,1.780430e-04,7958.7
44,49500,0.001864,1.770513e-04,8143.8
45,50625,0.001795,1.760406e-04,8328.9
46,51750,0.001805,1.750111e-04,8514.0
47,52875,0.001853,1.739631e-04,8699.1
48,54000,0.001884,1.728969e-04,8884.3
49,55125,0.001824,1.718126e-04,9069.4
50,56250,0.001855,1.707107e-04,9254.5
51,57375,0.001747,1.695913e-04,9442.2
52,58500,0.001715,1.684547e-04,9627.5
53,59625,0.001836,1.673013e-04,9812.7
54,60750,0.001925,1.661312e-04,9997.9
55,61875,0.001690,1.649448e-04,10183.0
56,63000,0.001766,1.637424e-04,10368.2
57,64125,0.001726,1.625243e-04,10553.3
58,65250,0.001789,1.612907e-04,10738.5
59,66375,0.001794,1.600420e-04,10923.7
60,67500,0.001635,1.587785e-04,11108.8
61,68625,0.001670,1.575005e-04,11295.9
62,69750,0.001598,1.562083e-04,11481.0
63,70875,0.001717,1.549023e-04,11666.0
64,72000,0.001675,1.535827e-04,11850.9
65,73125,0.001710,1.522499e-04,12036.0
66,74250,0.001696,1.509041e-04,12221.0
67,75375,0.001689,1.495459e-04,12406.1
68,76500,0.001646,1.481754e-04,12591.1
69,77625,0.001725,1.467930e-04,12776.1
70,78750,0.001678,1.453990e-04,12961.1
71,79875,0.001706,1.439939e-04,13148.2
72,81000,0.001667,1.425779e-04,13333.3
73,82125,0.001714,1.411514e-04,13518.4
74,83250,0.001710,1.397148e-04,13703.3
75,84375,0.001630,1.382683e-04,13888.3
76,85500,0.001582,1.368125e-04,14073.4
77,86625,0.001536,1.353475e-04,14258.4
78,87750,0.001631,1.338738e-04,14443.4
79,88875,0.001581,1.323917e-04,14628.4
80,90000,0.001574,1.309017e-04,14813.4
81,91125,0.001641,1.294040e-04,15000.5
82,92250,0.001607,1.278991e-04,15185.4
83,93375,0.001546,1.263873e-04,15370.5
84,94500,0.001567,1.248690e-04,15555.5
85,95625,0.001501,1.233445e-04,15740.5
86,96750,0.001709,1.218143e-04,15925.5
87,97875,0.001552,1.202787e-04,16110.5
88,99000,0.001545,1.187381e-04,16295.6
89,100125,0.001671,1.171929e-04,16480.7
90,101250,0.001630,1.156434e-04,16665.7
91,102375,0.001607,1.140901e-04,16852.7
92,103500,0.001693,1.125333e-04,17037.7
93,104625,0.001538,1.109734e-04,17222.7
94,105750,0.001496,1.094108e-04,17407.6
95,106875,0.001577,1.078459e-04,17592.6
96,108000,0.001643,1.062791e-04,17777.6
97,109125,0.001449,1.047106e-04,17962.4
98,110250,0.001584,1.031411e-04,18147.4
99,111375,0.001602,1.015707e-04,18332.3
100,112500,0.001576,1.000000e-04,18517.2
101,113625,0.001558,9.842927e-05,18704.1
102,114750,0.001495,9.685892e-05,18889.0
103,115875,0.001578,9.528935e-05,19074.0
104,117000,0.001493,9.372095e-05,19258.9
105,118125,0.001584,9.215409e-05,19443.8
106,119250,0.001473,9.058917e-05,19628.7
107,120375,0.001463,8.902657e-05,19813.6
108,121500,0.001474,8.746668e-05,19998.5
109,122625,0.001520,8.590988e-05,20183.4
110,123750,0.001520,8.435655e-05,20368.4
111,124875,0.001475,8.280709e-05,20555.4
112,126000,0.001466,8.126187e-05,20740.5
113,127125,0.001469,7.972127e-05,20925.5
114,128250,0.001477,7.818568e-05,21110.5
115,129375,0.001548,7.665546e-05,21295.6
116,130500,0.001477,7.513101e-05,21480.7
117,131625,0.001493,7.361270e-05,21665.7
118,132750,0.001398,7.210089e-05,21850.8
119,133875,0.001430,7.059597e-05,22035.8
120,135000,0.001475,6.909830e-05,22220.9
121,136125,0.001417,6.760826e-05,22408.0
122,137250,0.001378,6.612621e-05,22593.1
123,138375,0.001443,6.465252e-05,22778.2
124,139500,0.001427,6.318754e-05,22963.3
125,140625,0.001429,6.173166e-05,23148.4
126,141750,0.001319,6.028521e-05,23333.4
127,142875,0.001504,5.884856e-05,23518.4
128,144000,0.001338,5.742207e-05,23703.5
129,145125,0.001442,5.600608e-05,23888.6
130,146250,0.001437,5.460095e-05,24073.6
131,147375,0.001379,5.320702e-05,24260.7
132,148500,0.001305,5.182463e-05,24445.6
133,149625,0.001397,5.045413e-05,24630.6
134,150750,0.001342,4.909586e-05,24815.5
135,151875,0.001423,4.775014e-05,25000.3
136,153000,0.001294,4.641732e-05,25185.3
137,154125,0.001346,4.509772e-05,25370.1
138,155250,0.001433,4.379166e-05,25555.1
139,156375,0.001322,4.249947e-05,25740.0
140,157500,0.001392,4.122147e-05,25925.1
141,158625,0.001441,3.995798e-05,26112.2
142,159750,0.001373,3.870929e-05,26297.2
143,160875,0.001401,3.747573e-05,26482.2
144,162000,0.001329,3.625760e-05,26667.3
145,163125,0.001448,3.505520e-05,26852.3
146,164250,0.001263,3.386881e-05,27037.2
147,165375,0.001323,3.269875e-05,27222.1
148,166500,0.001357,3.154529e-05,27407.1
149,167625,0.001304,3.040872e-05,27592.0
150,168750,0.001297,2.928932e-05,27776.9
151,169875,0.001275,2.818737e-05,27963.9
152,171000,0.001382,2.710314e-05,28148.9
153,172125,0.001360,2.603689e-05,28333.8
154,173250,0.001290,2.498889e-05,28518.7
155,174375,0.001360,2.395940e-05,28703.7
156,175500,0.001305,2.294868e-05,28888.6
157,176625,0.001394,2.195696e-05,29073.5
158,177750,0.001338,2.098450e-05,29258.4
159,178875,0.001315,2.003153e-05,29443.3
160,180000,0.001359,1.909830e-05,29628.2
161,181125,0.001341,1.818503e-05,29815.3
162,182250,0.001323,1.729194e-05,30000.2
163,183375,0.001248,1.641926e-05,30185.2
164,184500,0.001236,1.556721e-05,30370.1
165,185625,0.001292,1.473598e-05,30555.0
166,186750,0.001306,1.392580e-05,30740.0
167,187875,0.001314,1.313685e-05,30924.9
168,189000,0.001375,1.236933e-05,31109.9
169,190125,0.001351,1.162344e-05,31294.8
170,191250,0.001290,1.089935e-05,31479.7
171,192375,0.001330,1.019724e-05,31666.7
172,193500,0.001254,9.517295e-06,31851.7
173,194625,0.001333,8.859672e-06,32036.6
174,195750,0.001319,8.224537e-06,32221.5
175,196875,0.001251,7.612047e-06,32406.5
176,198000,0.001204,7.022351e-06,32591.4
177,199125,0.001149,6.455597e-06,32776.3
178,200250,0.001258,5.911923e-06,32961.3
179,201375,0.001358,5.391464e-06,33146.2
180,202500,0.001295,4.894348e-06,33331.1
181,203625,0.001262,4.420699e-06,33518.2
182,204750,0.001240,3.970631e-06,33703.0
183,205875,0.001260,3.544258e-06,33888.0
184,207000,0.001316,3.141684e-06,34073.1
185,208125,0.001226,2.763008e-06,34258.1
186,209250,0.001209,2.408324e-06,34443.1
187,210375,0.001315,2.077719e-06,34628.1
188,211500,0.001267,1.771275e-06,34813.0
189,212625,0.001279,1.489067e-06,34998.0
190,213750,0.001294,1.231166e-06,35183.0
191,214875,0.001210,9.976342e-07,35370.0
192,216000,0.001233,7.885299e-07,35555.2
193,217125,0.001269,6.039045e-07,35740.1
194,218250,0.001254,4.438035e-07,35925.1
195,219375,0.001203,3.082666e-07,36110.1
196,220500,0.001311,1.973272e-07,36295.0
197,221625,0.001256,1.110125e-07,36480.0
198,222750,0.001276,4.934396e-08,36664.9
199,223875,0.001194,1.233675e-08,36849.9
200,225000,0.001225,0.000000e+00,37034.9
